Age,Gender,Weight (kg),Height (m),Session_Duration (hours),Workout_Frequency (days/week),Fitness_Level,BMI,Workout_Type
53,Male,73.4,1.76,1.09,3,2,23.7,Yoga
30,Male,90,1.66,1.32,4,2,32.66,Cardio
20,Male,85.7,1.92,1.72,5,3,23.25,Cardio
50,Female,70.4,1.55,0.73,2,1,29.3,Strength
23,Male,57.7,1.71,1.15,3,2,19.73,Strength
27,Male,75.7,1.76,0.68,3,1,24.44,Cardio
22,Female,61.8,1.52,1.83,5,3,26.75,Yoga
40,Male,80.3,1.76,1.63,5,3,25.92,Strength
27,Male,104.3,1.68,1.28,3,2,36.95,Cardio
19,Female,65.7,1.58,1.46,3,2,26.32,Cardio
30,Male,120.3,1.96,0.66,2,1,31.32,Yoga
57,Female,51.9,1.57,1.05,3,2,21.06,HIIT
19,Female,59.1,1.57,1.65,5,3,23.98,Cardio
37,Female,66.9,1.75,1.38,4,2,21.84,Strength
18,Female,66.9,1.75,0.94,2,1,21.84,Yoga
54,Male,78.7,1.66,1.42,3,2,28.56,Yoga
26,Female,62.4,1.61,1.88,4,3,24.07,Yoga
34,Male,102.1,1.71,0.96,2,1,34.92,HIIT
26,Male,51.9,2,0.75,2,1,12.97,HIIT
28,Male,58.3,2,1.32,4,2,14.57,Strength
32,Male,89.8,1.92,1.93,4,3,24.36,Strength
41,Male,101.1,1.83,0.79,2,1,30.19,Yoga
55,Male,118.6,1.72,0.77,3,1,40.09,Strength
52,Male,84.8,1.85,1.19,2,1,24.78,Cardio
47,Male,80,1.77,0.72,3,1,25.54,HIIT
48,Male,73.1,1.83,1.05,4,2,21.83,Yoga
22,Male,117.3,1.68,1.24,3,2,41.56,Yoga
31,Female,77.4,1.71,1.26,4,2,26.47,Cardio
28,Female,72.9,1.67,1.13,3,2,26.14,Cardio
26,Female,71.2,1.5,1.15,2,1,31.64,Cardio
51,Male,88.2,1.62,1.56,4,3,33.61,Cardio
29,Female,75.6,1.8,1.31,4,2,23.33,Yoga
52,Female,57.9,1.56,1.66,4,3,23.79,HIIT
52,Female,70.6,1.58,1.02,3,2,28.28,HIIT
18,Male,118.6,1.64,0.94,3,1,44.1,Cardio
57,Male,55.7,1.99,1.13,3,2,14.07,Strength
39,Male,102.3,1.94,0.89,3,1,27.18,Yoga
46,Male,72.6,1.87,1.31,4,2,20.76,HIIT
25,Female,63.8,1.68,0.95,2,1,22.6,Cardio
28,Female,67.3,1.67,0.61,3,1,24.13,Strength
58,Female,59.3,1.58,1.97,4,3,23.75,Strength
54,Female,70.7,1.57,1.14,3,1,28.68,Cardio
31,Male,86.9,1.69,1.72,4,3,30.43,Yoga
47,Male,98.2,1.9,0.76,3,1,27.2,HIIT
52,Male,63.6,1.62,1.3,4,2,24.23,Strength
38,Female,45.2,1.68,1.01,3,2,16.01,HIIT
54,Male,117.2,1.62,1.04,4,2,44.66,HIIT
22,Male,107.4,1.74,1.34,2,1,35.47,Strength
36,Female,59.1,1.78,0.85,2,1,18.65,Cardio
31,Female,53.3,1.64,0.57,3,1,19.82,Strength
43,Male,46.2,1.63,1.18,2,1,17.39,Strength
21,Male,67,1.61,1.32,3,2,25.85,Yoga
42,Male,86.3,1.77,1.77,4,3,27.55,HIIT
59,Male,85.5,1.67,1.99,5,3,30.66,Cardio
42,Male,70.2,1.87,1.38,3,2,20.07,HIIT
35,Male,127.1,1.62,1.02,4,2,48.43,Strength
57,Female,75.6,1.67,1.05,3,2,27.11,Cardio
25,Female,62.6,1.65,1.2,3,1,22.99,Cardio
56,Female,55.7,1.53,1.91,5,3,23.79,Cardio
57,Male,96.1,1.74,1.21,3,2,31.74,Cardio
31,Female,76.7,1.62,1.39,4,2,29.23,Yoga
49,Male,57.2,1.89,1.14,2,1,16.01,Cardio
55,Male,69.9,1.81,1.2,4,2,21.34,Strength
50,Female,67.9,1.77,1.03,3,2,21.67,Yoga
40,Male,87.9,1.87,1.96,5,3,25.14,Strength
32,Male,102.8,1.98,1.24,3,2,26.22,Strength
50,Female,51.8,1.5,1.32,3,1,23.02,HIIT
42,Female,57.7,1.57,1.83,4,3,23.41,Cardio
34,Female,66.5,1.69,0.81,3,1,23.28,Cardio
50,Male,95.4,1.61,1.16,4,2,36.8,Strength
19,Female,69.2,1.6,1.17,3,1,27.03,Cardio
31,Female,66.6,1.67,1.02,4,2,23.88,Yoga
57,Male,83.4,1.65,1.57,4,3,30.63,HIIT
57,Female,43.8,1.75,1.39,2,1,14.3,Cardio
56,Female,64.2,1.69,1.99,5,3,22.48,Cardio
23,Female,44.1,1.62,0.58,2,1,16.8,Yoga
23,Male,87.3,1.91,1.87,5,3,23.93,HIIT
20,Male,55,1.6,1.12,4,2,21.48,Yoga
24,Male,87.1,1.74,1.57,4,3,28.77,Strength
25,Male,66.6,1.61,1.38,2,1,25.69,Strength
59,Female,60.4,1.76,1.72,5,3,19.5,Cardio
32,Male,126.4,1.83,1.1,3,2,37.74,HIIT
46,Male,88.7,1.63,0.75,2,1,33.38,Strength
56,Male,88.3,1.71,1.69,4,3,30.2,Yoga
46,Female,74.9,1.53,1.3,4,2,32,HIIT
32,Female,68.1,1.66,1.11,4,2,24.71,Cardio
25,Male,53.2,1.7,0.59,3,1,18.41,Strength
38,Male,46.1,1.79,0.64,3,1,14.39,Strength
56,Female,58,1.68,1.59,5,3,20.55,HIIT
36,Male,70.3,1.72,1.49,3,2,23.76,Cardio
40,Female,69.7,1.51,1.27,3,2,30.57,Cardio
28,Male,121.7,1.94,1.03,4,2,32.34,Strength
28,Male,101.8,1.84,1.08,3,1,30.07,Cardio
41,Male,120.8,1.67,0.82,2,1,43.31,HIIT
53,Male,51.7,1.7,1.15,3,2,17.89,HIIT
57,Male,112.5,1.61,1.24,3,2,43.4,Cardio
41,Male,94.5,2,1.18,3,1,23.62,HIIT
20,Male,117.7,1.81,1.35,3,2,35.93,Yoga
39,Female,42.5,1.75,1.13,2,1,13.88,Strength
19,Female,64,1.53,1.33,3,2,27.34,HIIT
41,Female,43.8,1.77,1.19,3,1,13.98,Cardio
47,Female,66.8,1.75,1.13,3,2,21.81,Strength
55,Female,75.2,1.67,1.37,2,1,26.96,HIIT
19,Male,89,1.77,1.5,4,2,28.41,Strength
38,Male,71.9,1.77,1.12,2,1,22.95,Cardio
50,Female,71,1.68,1.17,2,1,25.16,Yoga
29,Male,120.9,1.78,0.78,2,1,38.16,Yoga
39,Female,64.3,1.69,1.25,4,2,22.51,HIIT
42,Female,63.7,1.71,1.42,3,2,21.78,Yoga
44,Male,65.2,1.8,0.73,2,1,20.12,HIIT
59,Male,53.9,1.75,1.48,4,2,17.6,Strength
45,Male,84.9,1.86,1.64,5,3,24.54,HIIT
33,Female,78,1.68,1.29,3,2,27.64,HIIT
32,Male,108.2,1.8,1.27,3,1,33.4,HIIT
20,Female,65.4,1.52,1.03,4,2,28.31,Yoga
54,Female,50.2,1.61,1.48,2,1,19.37,HIIT
24,Female,58.9,1.51,1.04,2,1,25.83,Cardio
38,Male,81.4,1.71,1.52,5,3,27.84,HIIT
26,Male,127.6,1.73,1.32,3,1,42.63,Strength
56,Female,59.3,1.56,1.26,4,2,24.37,Cardio
35,Male,96.9,1.71,1.34,3,2,33.14,Strength
21,Male,62.6,1.81,1.3,4,2,19.11,Strength
42,Male,45.5,1.6,1.31,3,2,17.77,Strength
31,Female,48.8,1.51,1.48,2,1,21.4,Cardio
26,Female,44.3,1.6,1.08,3,1,17.3,Cardio
43,Male,113.2,1.83,1.45,4,2,33.8,Yoga
19,Female,60.5,1.59,1.14,2,1,23.93,Cardio
37,Male,124.2,1.76,1.5,2,1,40.1,HIIT
45,Male,52.4,1.85,1.2,3,1,15.31,Strength
24,Male,54.7,1.74,0.84,3,1,18.07,Yoga
25,Male,88.1,1.95,1.41,2,1,23.17,Cardio
52,Female,59.7,1.71,1.23,3,1,20.42,Strength
31,Female,79.7,1.54,1.03,4,2,33.61,Cardio
34,Female,51,1.62,1.42,3,2,19.43,Yoga
53,Male,84.2,1.76,1.67,5,3,27.18,Cardio
57,Male,122.1,1.89,1.13,3,1,34.18,Cardio
21,Male,96.7,1.72,1.26,3,1,32.69,Strength
19,Female,73,1.79,0.81,3,1,22.78,HIIT
23,Male,114.8,1.6,1.47,4,2,44.84,Cardio
59,Female,65.5,1.52,1.4,3,2,28.35,Yoga
21,Female,50.3,1.52,1.08,3,1,21.77,Cardio
46,Female,61,1.71,1.67,4,3,20.86,Cardio
35,Female,44.6,1.62,0.56,2,1,16.99,HIIT
43,Female,58.2,1.61,1.04,3,2,22.45,Strength
51,Female,44.8,1.63,1.08,4,2,16.86,Yoga
27,Male,87.5,1.63,1.75,5,3,32.93,Strength
53,Male,51.8,1.74,1.23,3,2,17.11,Strength
31,Female,64.4,1.7,1.97,5,3,22.28,Strength
48,Female,67.1,1.61,0.62,2,1,25.89,Cardio
32,Male,85.9,1.6,1.99,5,3,33.55,HIIT
25,Female,65.4,1.77,0.89,3,1,20.88,Cardio
31,Female,61.1,1.76,1.81,4,3,19.72,Yoga
40,Male,106.5,1.65,1.32,4,2,39.12,HIIT
57,Female,64,1.52,1.73,5,3,27.7,Strength
38,Female,61.4,1.54,1.47,3,2,25.89,HIIT
33,Female,40.5,1.63,1.07,4,2,15.24,Yoga
35,Male,70.1,1.79,1.08,3,2,21.88,Cardio
41,Male,94.1,1.62,1.13,4,2,35.86,Cardio
43,Male,55.5,1.82,1.08,3,1,16.76,Strength
42,Female,53.7,1.72,1.37,3,1,18.15,Cardio
58,Female,66.1,1.75,0.63,2,1,21.58,Cardio
46,Male,103.9,1.77,1.18,2,1,33.16,Yoga
32,Female,61.7,1.58,1.87,5,3,24.72,HIIT
18,Female,52.3,1.74,1.2,2,1,17.27,Cardio
42,Female,59.5,1.74,1.78,5,3,19.65,Yoga
24,Female,72.9,1.76,0.86,3,1,23.53,Yoga
26,Female,76.7,1.63,1.08,2,1,28.87,Strength
41,Male,72.1,1.83,1.13,3,2,21.53,Yoga
18,Female,54.8,1.68,1.27,4,2,19.42,Strength
25,Male,105,1.88,1.34,3,2,29.71,Cardio
41,Female,55,1.55,1.45,4,2,22.89,Strength
28,Male,81.6,1.66,1.09,4,2,29.61,Yoga
34,Female,75.6,1.6,0.64,2,1,29.53,HIIT
25,Male,81.5,1.61,1.93,4,3,31.44,HIIT
52,Female,61.5,1.69,1.8,4,3,21.53,Cardio
52,Male,74,1.63,1.26,3,2,27.85,Cardio
50,Female,56.4,1.59,1.26,3,1,22.31,HIIT
22,Male,102.6,1.84,1.25,3,2,30.3,Strength
59,Female,54.6,1.57,0.58,3,1,22.15,Cardio
56,Male,129,1.78,1.29,2,1,40.71,Yoga
58,Male,103.5,1.66,1.33,3,1,37.56,Cardio
45,Female,59.4,1.51,1.15,4,2,26.05,Strength
24,Female,60.1,1.79,1.97,4,3,18.76,Cardio
26,Male,77.7,1.62,1.16,3,2,29.61,Yoga
25,Female,41.2,1.62,1.49,4,2,15.7,Yoga
29,Male,58.6,1.61,1.2,3,2,22.61,Yoga
51,Male,109.3,1.78,0.54,3,1,34.5,Strength
50,Male,69.6,1.96,0.97,3,1,18.12,Strength
40,Female,56.2,1.79,1.79,5,3,17.54,Yoga
41,Male,71.7,1.96,0.51,2,1,18.66,Yoga
54,Male,86,1.93,1.74,5,3,23.09,Strength
52,Female,79.4,1.59,1.39,3,2,31.41,Strength
57,Female,78.4,1.62,1.01,4,2,29.87,Strength
39,Female,55.4,1.6,1.44,3,2,21.64,HIIT
44,Female,61.7,1.55,1.41,4,2,25.68,Strength
52,Male,85.5,1.82,1.78,4,3,25.81,Yoga
18,Male,87.6,1.93,1.72,4,3,23.52,HIIT
52,Male,82.4,1.72,1.01,4,2,27.85,Strength
54,Male,67,1.68,0.55,3,1,23.74,Yoga
31,Female,42.3,1.6,1.09,3,2,16.52,Cardio
20,Male,82.7,1.99,1.69,5,3,20.88,HIIT
18,Male,92.4,1.74,1.41,2,1,30.52,Yoga
22,Female,63.2,1.54,1.02,4,2,26.65,Cardio
43,Male,82.7,1.85,1.22,4,2,24.16,Yoga
31,Male,86.6,1.76,1.29,3,2,27.96,Strength
56,Male,129.5,1.95,1,2,1,34.06,Strength
44,Male,98,1.83,1.28,4,2,29.26,Cardio
26,Male,86.2,1.68,1.97,5,3,30.54,Strength
32,Male,78.6,1.62,1.28,3,1,29.95,Yoga
32,Female,59,1.66,0.51,2,1,21.41,Cardio
43,Female,57.3,1.79,1.98,4,3,17.88,Yoga
59,Male,122.3,1.89,0.66,3,1,34.24,Yoga
30,Male,85.3,1.95,1.61,5,3,22.43,Yoga
49,Female,45.2,1.74,1.24,3,2,14.93,Strength
56,Male,55.6,1.92,0.68,3,1,15.08,Strength
49,Male,82.8,1.95,1.91,5,3,21.78,Yoga
21,Male,125.2,1.66,1.38,3,2,45.43,HIIT
47,Female,58.5,1.79,1.42,4,2,18.26,Yoga
54,Male,86.1,1.95,1.17,2,1,22.64,Yoga
40,Female,63.5,1.61,1.31,3,2,24.5,Cardio
56,Male,69.3,1.68,0.66,2,1,24.55,Yoga
32,Female,70.5,1.62,1.24,2,1,26.86,Strength
46,Female,60.1,1.65,1.69,4,3,22.08,Cardio
53,Male,94.1,1.95,0.89,3,1,24.75,HIIT
30,Female,79.2,1.62,1.26,4,2,30.18,Cardio
49,Male,115.3,1.91,1.38,2,1,31.61,HIIT
24,Female,62.9,1.79,1.42,4,2,19.63,Cardio
39,Male,62,1.64,0.97,3,1,23.05,Cardio
45,Male,88.5,1.78,1.53,4,3,27.93,HIIT
19,Female,73.9,1.77,1.28,3,2,23.59,Strength
59,Male,50.3,1.95,1.07,3,1,13.23,Strength
23,Male,83.1,1.8,0.7,3,1,25.65,Strength
45,Female,65.1,1.78,1.46,3,1,20.55,Cardio
45,Male,46.6,1.79,1.46,3,2,14.54,Yoga
37,Male,103.5,1.89,0.54,2,1,28.97,Cardio
47,Female,61.9,1.54,1.95,4,3,26.1,Yoga
28,Female,52,1.61,1.32,3,2,20.06,Yoga
45,Male,113.4,1.71,0.83,2,1,38.78,Strength
42,Male,62.9,1.98,1.42,4,2,16.04,Yoga
56,Female,40.4,1.8,1.23,4,2,12.47,Cardio
50,Female,67.1,1.75,0.67,3,1,21.91,Cardio
18,Male,70,1.61,1.3,2,1,27.01,Strength
44,Female,69.5,1.75,1.02,3,1,22.69,HIIT
30,Male,107.9,1.66,1.08,3,2,39.16,Cardio
58,Male,109,1.91,1.49,3,2,29.88,Yoga
20,Male,101,1.91,1.36,3,2,27.69,Cardio
56,Male,88.5,1.85,1.57,4,3,25.86,Cardio
23,Male,80.9,1.8,1.55,4,3,24.97,Cardio
25,Female,43.1,1.62,1.04,4,2,16.42,HIIT
44,Female,59.1,1.52,1.58,5,3,25.58,Yoga
26,Female,54,1.53,1.14,3,1,23.07,Strength
54,Female,72.3,1.78,1.27,2,1,22.82,Cardio
50,Male,51.1,1.98,0.92,2,1,13.03,Yoga
59,Male,89.4,1.72,1.08,3,1,30.22,Yoga
41,Male,51.5,1.8,1.09,4,2,15.9,Strength
32,Male,87.9,1.88,1.52,5,3,24.87,Cardio
49,Female,42,1.52,1.1,3,1,18.18,HIIT
49,Male,79.2,1.72,1.46,3,1,26.77,Yoga
41,Male,64.8,1.71,1.2,3,2,22.16,Strength
58,Female,63,1.78,1.58,4,3,19.88,HIIT
29,Female,56.2,1.77,0.68,3,1,17.94,Yoga
56,Female,52.9,1.64,1.1,3,2,19.67,Cardio
19,Female,49,1.69,1.05,3,1,17.16,Yoga
20,Male,128.2,1.84,0.83,3,1,37.87,HIIT
54,Male,83.6,1.86,1.54,5,3,24.16,HIIT
34,Female,56.2,1.77,1.81,5,3,17.94,Cardio
19,Male,87.8,1.78,1.28,2,1,27.71,Cardio
19,Male,85.9,1.85,1.66,4,3,25.1,Strength
45,Male,51.1,1.87,1.44,4,2,14.61,Cardio
40,Female,57.4,1.71,1.87,5,3,19.63,Strength
54,Male,114.9,1.92,1.2,4,2,31.17,HIIT
49,Female,62.1,1.66,1.37,3,2,22.54,HIIT
50,Male,57.1,1.91,1.09,4,2,15.65,Yoga
18,Male,68.1,1.8,1.1,4,2,21.02,Yoga
36,Male,69.2,1.65,1.23,3,1,25.42,Strength
19,Female,65.2,1.52,1.23,3,1,28.22,Cardio
43,Male,108.6,1.73,1.33,2,1,36.29,Cardio
49,Female,40,1.65,1.03,3,2,14.69,Yoga
23,Female,41.9,1.58,0.56,3,1,16.78,HIIT
49,Female,68.3,1.52,1.45,4,2,29.56,Strength
21,Male,88.4,1.6,1.71,4,3,34.53,HIIT
28,Male,66,1.9,1.18,3,1,18.28,HIIT
34,Male,71.9,1.64,1.26,4,2,26.73,Cardio
55,Male,75.6,1.71,1.03,4,2,25.85,Strength
41,Female,63.4,1.59,1.84,5,3,25.08,HIIT
22,Female,71.6,1.77,1.49,3,1,22.85,Yoga
51,Female,57.4,1.77,1.08,4,2,18.32,Yoga
23,Male,83.8,1.99,1.79,4,3,21.16,Cardio
39,Female,55.9,1.71,1.95,5,3,19.12,Yoga
28,Male,87,1.76,1.2,3,2,28.09,Yoga
33,Female,65.3,1.71,1.18,4,2,22.33,HIIT
50,Male,45.4,1.67,1.37,4,2,16.28,Yoga
26,Male,87.1,1.87,1.71,4,3,24.91,Yoga
23,Female,78.6,1.73,1.47,4,2,26.26,HIIT
33,Female,78,1.71,1.08,3,1,26.67,Cardio
46,Female,58,1.53,1.83,4,3,24.78,Cardio
20,Female,71.3,1.69,1.28,3,2,24.96,Strength
37,Male,49.1,1.74,1.11,3,2,16.22,Yoga
53,Female,78.3,1.65,1.24,3,1,28.76,HIIT
36,Female,57.3,1.64,1.13,4,2,21.3,Strength
43,Female,48.4,1.61,1.28,2,1,18.67,Cardio
20,Male,76.4,1.62,1.35,4,2,29.11,Cardio
36,Male,110.2,1.77,1.19,2,1,35.18,HIIT
37,Female,72.9,1.76,1.21,3,2,23.53,Strength
49,Male,82.1,1.86,1.87,4,3,23.73,Strength
24,Female,58.9,1.76,0.63,3,1,19.01,HIIT
58,Male,82.2,1.87,1.57,4,3,23.51,HIIT
50,Male,96.7,1.72,1.46,3,2,32.69,Strength
57,Male,81.4,1.86,1.8,5,3,23.53,Cardio
56,Male,107.8,1.73,1.09,3,2,36.02,Yoga
35,Female,65.8,1.62,1,4,2,25.07,Cardio
57,Female,68.5,1.56,1.45,4,2,28.15,HIIT
18,Female,63.9,1.59,1.87,4,3,25.28,Strength
28,Male,76.3,1.62,1.16,3,2,29.07,Strength
45,Female,44.5,1.65,1.44,3,1,16.35,Yoga
42,Female,50.7,1.75,1.29,3,2,16.56,Strength
40,Female,55.1,1.61,1.55,4,3,21.26,Yoga
48,Male,73.7,1.61,1.36,4,2,28.43,Cardio
47,Male,55.6,1.77,1.2,4,2,17.75,Cardio
59,Male,86.9,1.76,1.13,3,2,28.05,Strength
52,Female,60.3,1.68,1.6,4,3,21.36,Strength
24,Female,40.4,1.64,0.99,2,1,15.02,HIIT
33,Female,78.5,1.66,1.29,4,2,28.49,HIIT
43,Male,102.6,1.72,0.82,2,1,34.68,Strength
19,Male,110.8,1.91,1.31,2,1,30.37,Strength
18,Female,60.9,1.79,1.11,2,1,19.01,Cardio
29,Male,55.7,1.61,1.41,3,1,21.49,Strength
22,Male,110.5,1.92,1.16,3,2,29.98,HIIT
54,Male,55.2,1.71,0.77,2,1,18.88,Cardio
49,Male,46.5,1.72,1.4,4,2,15.72,Yoga
26,Female,70.9,1.66,0.81,3,1,25.73,HIIT
58,Male,74.6,1.75,1.09,2,1,24.36,HIIT
52,Male,45.1,1.72,0.93,2,1,15.24,Cardio
36,Male,99.9,1.99,1.33,3,1,25.23,Yoga
33,Male,117,1.61,1.04,3,2,45.14,HIIT
20,Female,75.9,1.73,1.39,4,2,25.36,Strength
37,Female,71.2,1.64,1.11,3,2,26.47,HIIT
41,Male,78.8,1.72,1.01,4,2,26.64,Cardio
50,Male,50.6,1.69,1.31,2,1,17.72,Cardio
41,Male,82.5,1.79,1.69,4,3,25.75,Cardio
28,Male,108.5,1.79,1.33,4,2,33.86,HIIT
25,Male,49.9,1.98,1.15,3,2,12.73,Yoga
53,Male,125.1,1.91,0.52,2,1,34.29,Strength
55,Female,79.7,1.66,1.06,2,1,28.92,Cardio
57,Male,126.8,1.63,0.96,2,1,47.72,Yoga
37,Female,54.6,1.57,1.31,3,1,22.15,Strength
52,Female,47.8,1.54,1.34,3,2,20.16,Cardio
42,Male,97.9,1.91,1.01,3,2,26.84,Strength
52,Female,63.1,1.54,1.36,3,2,26.61,Strength
42,Female,72.4,1.69,1.07,3,2,25.35,Yoga
46,Female,58.9,1.7,1.52,4,3,20.38,Strength
35,Female,50.4,1.6,1.03,4,2,19.69,Cardio
35,Female,64.2,1.59,1.63,5,3,25.39,Yoga
19,Female,58.8,1.77,1.4,2,1,18.77,HIIT
52,Male,105.2,1.62,1.36,3,1,40.09,HIIT
33,Female,45.9,1.5,0.92,3,1,20.4,Yoga
58,Female,65.2,1.63,1.12,3,2,24.54,HIIT
53,Female,56.3,1.79,1.52,5,3,17.57,Strength
50,Male,90,1.7,0.81,2,1,31.14,Cardio
21,Female,60,1.7,1.97,5,3,20.76,Strength
50,Male,51.5,1.71,1.48,2,1,17.61,Yoga
31,Female,63.1,1.64,1.54,4,3,23.46,Cardio
38,Male,91.5,1.77,0.8,2,1,29.21,Yoga
37,Male,48.7,1.67,1.39,2,1,17.46,Yoga
25,Female,57.8,1.56,1.35,3,2,23.75,Yoga
24,Female,42,1.75,0.83,3,1,13.71,Strength
20,Male,128.4,1.92,0.63,2,1,34.83,Cardio
34,Female,74.2,1.57,1.47,3,1,30.1,Cardio
50,Male,89.6,1.68,1.79,5,3,31.75,Cardio
29,Male,125.9,2,1.36,4,2,31.48,Strength
39,Male,105.5,1.99,0.81,2,1,26.64,HIIT
39,Male,93.4,1.7,1.1,4,2,32.32,Strength
47,Male,82.1,1.84,1.37,4,2,24.25,Strength
55,Female,42.9,1.69,0.9,2,1,15.02,Yoga
55,Male,128.4,1.68,1.13,4,2,45.49,Cardio
25,Male,112.4,1.96,1.42,2,1,29.26,Cardio
44,Female,77.7,1.79,1.41,3,1,24.25,HIIT
44,Male,89.3,1.99,1.4,4,2,22.55,HIIT
51,Female,70.3,1.55,1.4,3,1,29.26,Yoga
38,Female,59.1,1.72,1.07,3,2,19.98,Cardio
47,Female,49.9,1.69,1.48,3,2,17.47,HIIT
50,Male,101.7,1.67,0.53,2,1,36.47,HIIT
45,Male,93,1.91,1.03,3,2,25.49,Cardio
50,Male,87.4,1.6,0.77,2,1,34.14,Strength
22,Female,55.1,1.61,1.62,4,3,21.26,HIIT
36,Male,123.7,1.69,1.3,4,2,43.31,Cardio
21,Female,61.3,1.57,1.94,4,3,24.87,HIIT
52,Male,72.3,1.94,1.46,3,2,19.21,Yoga
34,Female,69.2,1.53,1.36,2,1,29.56,HIIT
45,Male,81.4,1.61,1.14,4,2,31.4,Cardio
47,Male,84.8,1.86,1.85,5,3,24.51,HIIT
46,Male,55.1,1.72,1.43,3,2,18.62,Yoga
23,Female,59,1.78,1.67,5,3,18.62,Yoga
52,Female,64.9,1.51,1.83,4,3,28.46,HIIT
58,Male,109.7,1.75,1.01,2,1,35.82,HIIT
54,Male,78.4,1.9,0.81,2,1,21.72,Yoga
41,Female,76.7,1.79,1.4,4,2,23.94,Yoga
46,Female,63.1,1.61,1,4,2,24.34,Strength
48,Female,62.9,1.58,1.98,4,3,25.2,Strength
52,Male,85.6,1.74,1.84,4,3,28.27,Yoga
50,Female,66.3,1.57,1.25,2,1,26.9,HIIT
38,Male,61.3,1.97,1.37,3,1,15.8,Cardio
49,Female,44.1,1.65,1.16,4,2,16.2,HIIT
40,Male,63.8,1.62,1.3,2,1,24.31,HIIT
50,Female,55.4,1.55,1.85,4,3,23.06,Strength
20,Female,74.7,1.58,1.04,3,2,29.92,Strength
35,Female,78,1.67,1.13,4,2,27.97,Strength
42,Female,57.5,1.67,1.14,2,1,20.62,Yoga
59,Female,60.7,1.73,1.03,3,2,20.28,Yoga
48,Male,69,1.74,1.48,3,2,22.79,HIIT
20,Female,75.8,1.78,1.42,4,2,23.92,HIIT
57,Female,75.7,1.63,0.69,3,1,28.49,Cardio
41,Female,71.2,1.64,1.42,3,2,26.47,HIIT
49,Male,85,1.68,1.82,4,3,30.12,HIIT
39,Female,63.6,1.56,1.22,2,1,26.13,Strength
40,Male,73.2,1.94,0.81,2,1,19.45,Strength
19,Female,48.3,1.52,0.96,2,1,20.91,Strength
44,Female,42.8,1.78,1.49,3,2,13.51,Strength
59,Male,88.1,1.76,1.35,3,2,28.44,Strength
19,Female,72.4,1.75,1.2,4,2,23.64,Cardio
43,Male,73.2,1.88,1.17,3,1,20.71,Cardio
34,Male,110.5,1.86,1.42,2,1,31.94,Cardio
57,Female,46.1,1.76,1.44,3,2,14.88,Strength
50,Male,90.8,1.71,1.07,4,2,31.05,Yoga
26,Female,59.3,1.51,1.7,5,3,26.01,Strength
56,Female,45.1,1.73,0.83,3,1,15.07,Strength
46,Male,45,1.77,1.48,3,2,14.36,Cardio
59,Male,89.4,1.62,1.43,3,2,34.06,Strength
43,Male,127.7,1.69,1.14,3,2,44.71,Cardio
52,Male,70.9,1.72,1.31,3,2,23.97,Strength
42,Female,49.2,1.5,1.15,3,2,21.87,HIIT
41,Female,62.3,1.79,1.99,5,3,19.44,Yoga
30,Male,64.1,1.87,0.64,2,1,18.33,Yoga
24,Female,69.7,1.75,1.41,3,1,22.76,Cardio
53,Female,56.9,1.59,1.49,3,2,22.51,HIIT
37,Female,53,1.71,1.13,4,2,18.13,Yoga
18,Female,72.7,1.55,0.84,3,1,30.26,Cardio
25,Male,76.5,1.96,0.67,3,1,19.91,Strength
33,Male,113.6,1.99,1.38,2,1,28.69,Strength
31,Female,62.5,1.62,1.56,4,3,23.81,HIIT
29,Male,95.2,1.86,0.64,2,1,27.52,Yoga
40,Male,51.7,1.82,0.9,3,1,15.61,Strength
32,Male,105.3,1.67,0.57,3,1,37.76,Cardio
45,Female,71.2,1.68,1.37,3,1,25.23,Strength
51,Female,78.1,1.51,0.92,3,1,34.25,Strength
